happy	0
birthday	1
老婆	2
简单	3
滑下来	4
上面	5
冰钓	6
第一次	7
混口饭吃	8
失业	9
一天	10
如果	11
儿童节	12
儿童	13
节日	14
孩子	15
庆祝	16
伊拉克	17
小朋友	18
糖果	19
定为	20
虐杀	21
每年	22
日本	23
国家	24
毒害	25
为了	26
假日	27
鲤鱼	28
男孩	29
悬挂	30
活动	31
日期	32
尽情欢乐	33
韩国	34
女儿节	35
世界	36
沿街乞讨	37
跳龙门	38
民间	39
端午节	40
粽子	41
雄黄酒	42
菖蒲	43
龙舟	44
屈原	45
龙船	46
艾草	47
端午	48
雄黄	49
习俗	50
五月	51
端阳	52
飞龙	53
三闾大夫	54
楚国	55
湘君	56
榴花	57
纪念	58
妖艳	59
五毒	60
荆楚	61
艾叶	62
暗合	63
初五	64
传说	65
人们	66
江中	67
中国	68
农历	69
父亲节	70
父亲	71
多德	72
佩戴	73
八八	74
八月八	75
第三个	76
表示	77
星期日	78
中国台湾	79
敬意	80
早餐	81
采纳	82
建议	83
子女	84
由约翰	85
言辞恳切	86
美国	87
母亲节	88
贺卡	89
夫人	90
52	91
两字	92
节期	93
1972	94
杜德夫	95
军旗	96
建军节	97
八一	98
中国人民解放军	99
1933	100
纪念日	101
瑞金	102
中国工农红军	103
1927	104
暴动	105
八一建军节	106
南昌	107
11	108
举行	109
中央革命军事委员会	110
成立	111
中华苏维埃共和国	112
决定	113
第一个	114
城南	115
革命	116
中央政府	117
红军	118
象征	119
诞生	120
叶坪	121
授旗	122
立秋	123
秋季	124
这天	125
秋节	126
秋天	127
风俗	128
秋风	129
节气	130
气候	131
瓜豆	132
季节	133
立秋前	134
2015	135
由热	136
转凉	137
秋来	138
摸秋	139
秋忙会	140
秋忙	141
贴秋	142
开始	143
易生	144
气温	145
进补	146
平均温度	147
公历	148
梧桐	149
大会	150
南瓜	151
老姐	152
bug	153
帝都	154
赶回来	155
匆匆忙忙	156
婚礼	157
返回	158
两天	159
明天	160
刚刚	161
参加	162
各种	163
继续	164
七月	165
中元节	166
目连	167
祭祖	168
鬼节	169
祭祀	170
张灯	171
祖先	172
祭拜	173
十五	174
沉香	175
秋成	176
十五日	177
鬼魂	178
先人	179
小秋	180
河灯	181
中元	182
二郎神	183
地狱	184
地府	185
饿鬼	186
亡魂	187
所以	188
牌位	189
祀祖	190
卅日	191
国庆	192
阅兵	193
周年	194
国庆节	195
中华人民共和国	196
10	197
国庆日	198
1949	199
1959	200
1984	201
35	202
1999	203
庆典	204
14	205
50	206
2009	207
60	208
号召力	209
休假	210
凝聚力	211
体现	212
大庆	213
基本特征	214
标语	215
每逢	216
重阳	217
菊花	218
茱萸	219
重阳节	220
登高	221
九月九	222
赏菊	223
佳节	224
民俗	225
长寿	226
记载	227
采菊	228
赏秋	229
祛病	230
游赏	231
九月	232
辟邪	233
历朝历代	234
汉族	235
九月初	236
红纸	237
唐代	238
传统节日	239
远眺	240
作成	241
听力	242
耳聋	243
爱耳日	244
老年人	245
发生率	246
日为	247
预防	248
耳道	249
卫生部	250
药物	251
噪音	252
数量	253
聋儿	254
中国残疾人联合会	255
薄弱	256
按摩	257
部委局	258
毒性	259
凹陷处	260
危害	261
民政部	262
耳垂	263
内耳	264
尽量避免	265
现实	266
尤为重要	267
补肾	268
提案	269
针对	270
元宵节	271
元宵	272
正月十五	273
东方朔	274
汉武帝	275
徐德言	276
龙舞	277
昌乐	278
灯谜	279
龙灯	280
宫女	281
思念	282
七盏	283
元夕	284
有个	285
李夫人	286
正月	287
燃灯	288
爱妃	289
一盏灯	290
火焚	291
谜语	292
花灯	293
流行	294
团圆	295
食品	296
铜镜	297
惊蛰	298
小人	299
春雷	300
万物	301
白虎	302
雷声	303
鼓皮	304
时节	305
内心	306
不忿	307
食物	308
抒发	309
地区	310
养生	311
大部分	312
平均气温	313
雨水	314
是非	315
二月	316
我国	317
创业	318
鳞鳞	319
蛰虫	320
公仔	321
妇女节	322
妇女	323
三八	324
国际妇女节	325
12	326
劳动	327
国际	328
女工	329
三八妇女节	330
1911	331
International	332
Women	333
Day	334
15	335
男人	336
南非	337
反对	338
休息日	339
求爱	340
争取	341
女性	342
掌权	343
美国纽约	344
旅游	345
19	346
2011	347
徐霞客	348
游记	349
赋文	350
网络	351
设立	352
宁海人	353
欣然命笔	354
六十二年	355
网友	356
国务院	357
更好	358
非法定	359
字字珠玑	360
耄耋	361
以身相许	362
一字千金	363
百姓	364
雄文	365
吃住行	366
唐玄奘	367
艳遇	368
字词	369
2001	370
麻绍勤	371
烟草	372
无烟日	373
世界卫生组织	374
吸烟	375
31	376
禁止	377
1989	378
绝经	379
精子	380
公约	381
全球	382
症状	383
香烟盒	384
主题	385
疾病	386
20	387
World	388
No	389
Tobacco	390
28	391
